,No Drift,State Change: va,State Change: po,State Change: sib,State Change: pp,State Change: All,No Drift_std,State Change: va_std,State Change: po_std,State Change: sib_std,State Change: pp_std,State Change: All_std
28,-3.0,-3.6,-3.2,-1.4,-3.0,-4.8,4.516635916254486,2.8705400188814645,4.621688003316537,4.317406628984581,7.014271166700073,8.034923770640267
29,-0.8,-7.4,-1.8,-5.0,-7.6,-4.6,1.32664991614216,11.394735626595292,2.7129319932501077,8.07465169527454,5.314132102234569,4.8
30,-5.2,-0.4,-1.2,-3.8,-1.4,-0.8,8.133879763065101,1.8547236990991407,3.4292856398964493,6.241794613730893,2.727636339397171,2.1354156504062622
31,-6.8,0.0,-1.2,-0.6,-3.0,-4.6,5.81033561853358,0.6324555320336759,0.9797958971132713,1.3564659966250536,4.69041575982343,4.029888335921977
32,-2.4,-3.0,-7.4,-0.4,-1.2,-6.6,2.1540659228538015,5.692099788303083,11.056219968868204,0.8000000000000002,2.9933259094191533,10.910545357588685
33,-4.6,-1.6,-2.2,-5.6,-6.0,-1.6,10.229369482035537,2.870540018881465,3.9698866482558413,8.014985963805552,9.2951600308978,3.0724582991474434
34,-0.6,0.4,-3.0,-2.8,-2.0,-4.2,2.727636339397171,0.48989794855663565,3.9496835316262997,2.4,4.049691346263317,6.04648658313239
35,-3.0,-0.8,-6.6,-3.0,0.2,-0.8,3.847076812334269,1.6,10.594338110519221,4.147288270665544,0.7483314773547883,2.7129319932501077
36,0.0,-4.8,-4.6,-2.4,-3.6,-7.0,1.0954451150103321,6.49307323229917,7.28285658241325,4.317406628984581,5.499090833947008,6.81175454637056
37,-6.0,-1.4,-8.2,0.2,-3.0,-2.8,7.155417527999327,3.8262252939417984,8.207313811473277,0.4,4.516635916254486,4.48998886412873
38,0.8,-0.4,-6.0,-6.4,-1.2,-2.6,0.4,1.3564659966250538,4.381780460041329,6.529931086925803,1.9390719429665317,3.006659275674582
39,-7.0,-2.4,-5.2,-4.6,-4.6,-5.6,6.511528238439882,3.7202150475476548,7.493997598078079,6.053098380168622,8.522910301065007,7.683749084919419
40,-1.0,-0.8,-2.6,-1.2,-5.4,-3.4,2.0976176963403033,2.227105745132009,5.71314274283428,2.925747767665559,6.118823416311343,7.83836717690617
41,-3.0,-1.2,-2.0,-3.4,-1.6,-2.6,4.147288270665544,2.4819347291981715,3.0983866769659336,3.4409301068170506,4.715930449020639,2.5768197453450252
42,0.2,0.0,-5.4,-0.8,-4.4,0.4,0.7483314773547883,1.5491933384829668,7.445804187594515,2.638181191654584,2.65329983228432,0.7999999999999999
