,No Drift,State Change: va,State Change: po,State Change: sib,State Change: pp,State Change: All,No Drift_std,State Change: va_std,State Change: po_std,State Change: sib_std,State Change: pp_std,State Change: All_std
60,-2.8,-0.6,-7.8,-11.4,-0.2,-14.0,4.955804677345546,1.2,4.48998886412873,11.976643937263894,0.9797958971132713,5.761944116355173
61,0.4,-1.8,-3.0,-5.8,-24.0,-18.6,1.2,4.1182520563948,3.847076812334269,9.325234581499814,12.521980673998822,7.002856560004639
62,-1.0,0.4,-10.2,-19.4,-17.4,-13.4,2.280350850198276,0.7999999999999999,2.0396078054371136,10.248902380255165,15.094369811290566,7.002856560004639
63,-2.2,-5.8,-6.0,-4.8,-11.4,-15.4,2.785677655436824,6.1773780845922,4.1952353926806065,8.657944328765344,14.786480311419618,2.4979991993593593
64,-3.6,-3.0,-2.4,-14.2,-12.6,-15.2,3.720215047547655,1.0954451150103321,1.7435595774162693,12.006664815842907,14.650597257449949,3.655133376499413
65,-2.6,-3.6,-5.4,-14.8,-12.0,-13.0,3.440930106817051,3.8781438859330635,4.715930449020639,12.512393855693642,15.12613632095123,3.0983866769659336
66,-1.8,-3.8,-8.6,-4.8,-24.2,-13.4,2.3151673805580453,3.4871191548325386,8.452218643646175,10.127191120937729,10.777754868245983,4.498888751680798
67,-4.0,-3.4,-1.8,-22.8,0.2,-15.8,3.521363372331802,2.244994432064365,2.7129319932501077,2.9257477676655586,1.1661903789690602,0.9797958971132713
68,-2.6,-0.6,-8.0,-10.6,-5.6,-18.0,6.7111846942250075,1.624807680927192,5.215361924162119,8.935323161475472,12.208193969625482,7.874007874011811
69,0.6,-2.4,-2.6,-12.4,-18.4,-12.4,0.48989794855663565,1.624807680927192,5.71314274283428,11.217842929904126,14.277254638059796,4.841487374764082
70,-2.8,-2.0,-1.6,-15.4,-18.2,-12.2,3.4292856398964493,2.1908902300206643,3.720215047547655,11.110355529864918,14.119490075778232,4.791659420284375
71,-1.2,-0.6,-4.2,-11.4,-23.8,-14.0,2.3151673805580453,1.4966629547095767,5.035871324805669,10.091580649234292,12.448293055676348,3.847076812334269
72,-0.4,-2.6,-1.4,-5.0,-17.8,-18.2,1.8547236990991407,1.9595917942265424,3.3823069050575523,9.2951600308978,14.945233353815524,3.1874754901018454
73,-1.0,-3.0,-2.2,-10.4,-5.8,-18.2,2.0976176963403033,3.1622776601683795,5.418486873657627,11.723480711802276,11.702991070662234,4.019950248448356
74,-0.4,-1.2,-11.2,-8.0,-19.0,-18.8,2.8,2.85657137141714,9.703607576566563,9.38083151964686,14.338758663147937,2.3151673805580453
75,-8.0,-1.8,-2.0,-14.6,-12.4,-14.6,6.723094525588644,1.469693845669907,5.019960159204453,11.959933110180842,14.813507349712964,3.0066592756745814
76,-2.6,-3.4,-5.4,-9.8,-7.0,-18.6,3.1368774282716245,1.9595917942265424,5.388877434122992,12.023310692151309,12.181953866272849,3.878143885933063
77,-1.0,-2.8,-4.6,0.2,-10.6,-21.4,2.6076809620810595,3.4871191548325386,4.586937976471886,1.6,13.410443691392167,5.4626001134990645
78,0.2,-6.2,-1.6,-1.0,-4.8,-15.8,0.7483314773547883,5.775811631277461,1.624807680927192,2.6076809620810595,10.609429767899874,4.48998886412873
79,-3.2,-1.0,-6.6,-7.6,-5.2,-18.6,3.1874754901018454,2.1908902300206643,4.127953488110059,8.064738061462382,10.4,2.8
80,-1.6,-5.4,-1.4,-0.2,0.4,-17.6,3.3226495451672298,6.651315659326356,2.5768197453450252,1.4696938456699067,0.48989794855663565,5.161395160225576
81,-6.2,-4.4,-6.2,-8.8,-9.2,-13.4,10.906878563548785,1.624807680927192,5.114684741017769,8.37615663654877,12.671227249165726,3.4985711369071804
82,-5.4,-3.2,-2.4,-8.6,-18.0,-17.2,3.7202150475476548,2.6381811916545836,3.3226495451672293,11.77454882362802,15.11290838985005,3.54400902933387
83,0.4,-1.2,-7.6,-3.2,-14.0,-16.6,0.48989794855663565,1.7204650534085253,5.499090833947008,7.909487973314076,14.872793954062566,5.71314274283428
84,-3.0,-3.6,-9.2,-11.0,-24.4,-11.4,4.774934554525329,4.079215610874228,12.448293055676348,11.224972160321824,11.253443917308159,3.2619012860600183
85,-3.6,-5.8,-6.4,-2.0,-24.8,-17.0,5.314132102234569,6.4621977685614045,2.244994432064365,4.09878030638384,11.408768557561327,3.63318042491699
86,-11.6,-4.6,-5.4,-10.2,-12.2,-10.6,9.810198774744578,3.8781438859330635,4.800000000000001,9.495261976375376,14.161920773680384,3.8781438859330635
87,-0.8,-4.6,-6.4,-8.6,-12.0,-16.8,2.1354156504062622,4.673328578219169,5.462600113499065,9.372299611087985,15.517731793016658,2.9257477676655586
88,-2.4,-6.0,-2.8,-7.8,-12.6,-20.4,3.7202150475476548,6.870225614927067,4.915282290977803,9.495261976375375,14.636939570825588,1.8547236990991407
89,-2.6,-1.4,-2.6,-10.8,-19.6,-18.6,3.2,1.4966629547095767,4.586937976471886,11.303096920755832,11.77454882362802,3.0066592756745814
90,-6.2,-2.4,-4.6,-5.8,-12.4,-17.0,7.3047929470998705,2.1540659228538015,5.238320341483519,9.662297863344929,15.628179676469042,2.280350850198276
91,-0.8,-1.8,-7.4,-5.4,-5.6,-15.6,3.6000000000000005,2.3151673805580453,5.122499389946279,9.891410415102591,12.208193969625482,4.673328578219168
92,-4.0,-4.6,-5.0,-9.6,-12.4,-18.8,4.979959839195493,3.3823069050575527,7.4565407529228995,12.175385004179539,15.628179676469042,3.4292856398964493
93,-0.4,-3.0,-1.8,-1.6,-2.6,-15.2,2.33238075793812,1.8973665961010275,3.655133376499413,4.715930449020639,4.800000000000001,1.469693845669907
94,0.4,-3.6,-5.6,0.4,-5.0,-15.8,0.48989794855663565,5.571355310873648,5.642694391866353,0.48989794855663565,9.549869109050658,3.3105890714493698
95,-1.8,-3.0,-2.2,-9.4,-6.2,-15.4,5.1146847410177685,2.6076809620810595,4.445222154178574,12.753038853543888,11.93984924527944,5.1613951602255765
96,0.0,-2.0,-6.8,-0.6,-29.6,-18.8,0.6324555320336759,4.560701700396552,4.791659420284375,2.7276363393971716,1.4966629547095764,3.655133376499413
97,-3.8,-4.0,-8.6,-7.2,-5.8,-15.6,5.15363949069005,6.54217089351845,4.8,9.15204895091804,12.12270596855339,3.7202150475476548
98,-0.2,-3.2,-6.0,-9.4,-17.8,-19.6,1.9390719429665317,3.9191835884530852,5.513619500836088,8.935323161475472,14.5657131648265,3.261901286060018
99,0.0,-0.4,-6.6,-3.8,-25.0,-15.0,0.6324555320336759,1.8547236990991407,5.571355310873648,3.249615361854384,10.019980039900279,3.3466401061363023
